year,Taxon Name,sumcatch
1950,Carangidae,47374.2
1950,Exocoetidae,522.07
1950,Mullidae,683.23
1950,Ommastrephidae,64190.28
1951,Carangidae,45701.08
1951,Exocoetidae,521.95
1951,Mullidae,651.61
1951,Ommastrephidae,64271.5
1952,Carangidae,48246.79
1952,Exocoetidae,522.97
1952,Mullidae,646.61
1952,Ommastrephidae,64312.11
1953,Carangidae,51206.05
1953,Exocoetidae,523.11
1953,Mullidae,1229.65
1953,Ommastrephidae,85468.63
1954,Carangidae,50821.32
1954,Exocoetidae,526.9
1954,Mullidae,1091.61
1954,Ommastrephidae,78809.97
1955,Carangidae,49877.96
1955,Exocoetidae,525.62
1955,Mullidae,1309.44
1955,Ommastrephidae,76374.56
1956,Carangidae,52428.82
1956,Exocoetidae,779.28
1956,Mullidae,1279.6
1956,Ommastrephidae,50749.73
1957,Carangidae,63188.46
1957,Exocoetidae,587.81
1957,Mullidae,917.61
1957,Ommastrephidae,60506.42
1958,Carangidae,63975.78
1958,Exocoetidae,529.63
1958,Mullidae,994.37
1958,Ommastrephidae,57004.72
1959,Carangidae,78561.56
1959,Exocoetidae,604.08
1959,Mullidae,1266.02
1959,Ommastrephidae,80838.9
1960,Carangidae,129408.25
1960,Exocoetidae,553.33
1960,Mullidae,916.47
1960,Ommastrephidae,80825.23
1961,Carangidae,121406.82
1961,Exocoetidae,598.64
1961,Mullidae,1155.82
1961,Ommastrephidae,66701.43
1962,Carangidae,116825.85
1962,Exocoetidae,692.07
1962,Mullidae,1063.85
1962,Ommastrephidae,96185.05
1963,Carangidae,106027.77
1963,Exocoetidae,881.19
1963,Mullidae,982.63
1963,Ommastrephidae,126801.7
1964,Carangidae,118049.86
1964,Exocoetidae,665.57
1964,Mullidae,1061.86
1964,Ommastrephidae,47480.24
1965,Carangidae,126061.91
1965,Exocoetidae,663.81
1965,Mullidae,1563.06
1965,Ommastrephidae,84561.36
1966,Carangidae,114697.41
1966,Exocoetidae,543.94
1966,Mullidae,1059.92
1966,Ommastrephidae,77468.8
1967,Carangidae,102117.02
1967,Exocoetidae,556.84
1967,Mullidae,980.85
1967,Ommastrephidae,91328.07
1968,Carangidae,92755
1968,Exocoetidae,666.6
1968,Mullidae,1070.56
1968,Ommastrephidae,122476.66
1969,Carangidae,90117.47
1969,Exocoetidae,759.92
1969,Mullidae,830.82
1969,Ommastrephidae,80226.12
1970,Carangidae,79895.77
1970,Exocoetidae,575.91
1970,Mullidae,957.91
1970,Ommastrephidae,62419.74
1971,Carangidae,87260.73
1971,Exocoetidae,809.2
1971,Mullidae,1405.86
1971,Ommastrephidae,51350.41
1972,Carangidae,62274.33
1972,Exocoetidae,640.56
1972,Mullidae,1233.72
1972,Ommastrephidae,79745.53
1973,Carangidae,56429.48
1973,Exocoetidae,578.97
1973,Mullidae,1221.55
1973,Ommastrephidae,60850.78
1974,Carangidae,63958.91
1974,Exocoetidae,586.58
1974,Mullidae,989.69
1974,Ommastrephidae,56499.66
1975,Carangidae,71048.94
1975,Exocoetidae,532.73
1975,Mullidae,866.16
1975,Ommastrephidae,81262.51
1976,Carangidae,69760.06
1976,Exocoetidae,512.6
1976,Mullidae,1296.42
1976,Ommastrephidae,78606.2
1977,Carangidae,72159.3
1977,Exocoetidae,538.23
1977,Mullidae,1194.81
1977,Ommastrephidae,87094.2
1978,Carangidae,65781.05
1978,Exocoetidae,572.98
1978,Mullidae,1167.04
1978,Ommastrephidae,75028.4
1979,Carangidae,82003.93
1979,Exocoetidae,522.07
1979,Mullidae,1088.23
1979,Ommastrephidae,85867.15
1980,Carangidae,82579.87
1980,Exocoetidae,454.9
1980,Mullidae,943.8
1980,Ommastrephidae,122085.84
1981,Carangidae,67587.81
1981,Exocoetidae,543.53
1981,Mullidae,919.23
1981,Ommastrephidae,94557.77
1982,Carangidae,74799.91
1982,Exocoetidae,521.48
1982,Mullidae,749.67
1982,Ommastrephidae,83514.9
1983,Carangidae,82026.94
1983,Exocoetidae,494.11
1983,Mullidae,836.42
1983,Ommastrephidae,75401.16
1984,Carangidae,94533.91
1984,Exocoetidae,789.92
1984,Mullidae,885.04
1984,Ommastrephidae,94702.46
1985,Carangidae,82356.62
1985,Exocoetidae,909.01
1985,Mullidae,764.06
1985,Ommastrephidae,67668.86
1986,Carangidae,85112.15
1986,Exocoetidae,1126.67
1986,Mullidae,986.56
1986,Ommastrephidae,39220.21
1987,Carangidae,117125.82
1987,Exocoetidae,615.08
1987,Mullidae,1045.25
1987,Ommastrephidae,70138.99
1988,Carangidae,111360.11
1988,Exocoetidae,569.77
1988,Mullidae,1012.55
1988,Ommastrephidae,65864.83
1989,Carangidae,127875.43
1989,Exocoetidae,514.54
1989,Mullidae,1239.9
1989,Ommastrephidae,92790.38
1990,Carangidae,139244.95
1990,Exocoetidae,476.96
1990,Mullidae,1331.22
1990,Ommastrephidae,90811.09
1991,Carangidae,149004.06
1991,Exocoetidae,376.39
1991,Mullidae,1945.83
1991,Ommastrephidae,106295.32
1992,Carangidae,135401.27
1992,Exocoetidae,411.08
1992,Mullidae,1793.58
1992,Ommastrephidae,146940.06
1993,Carangidae,139214.94
1993,Exocoetidae,462.5
1993,Mullidae,1782.02
1993,Ommastrephidae,119765.73
1994,Carangidae,161270.16
1994,Exocoetidae,486.09
1994,Mullidae,1299.73
1994,Ommastrephidae,113417.14
1995,Carangidae,178016.16
1995,Exocoetidae,433.16
1995,Mullidae,1318.15
1995,Ommastrephidae,111145.91
1996,Carangidae,190977.64
1996,Exocoetidae,463.75
1996,Mullidae,1108.63
1996,Ommastrephidae,166809.64
1997,Carangidae,151479.65
1997,Exocoetidae,413.65
1997,Mullidae,1088.66
1997,Ommastrephidae,136698.92
1998,Carangidae,160022.33
1998,Exocoetidae,493.81
1998,Mullidae,958.05
1998,Ommastrephidae,81484.93
1999,Carangidae,154513.93
1999,Exocoetidae,365.99
1999,Mullidae,798.07
1999,Ommastrephidae,90737.06
2000,Carangidae,165678.59
2000,Exocoetidae,516.18
2000,Mullidae,634.13
2000,Ommastrephidae,123072.54
2001,Carangidae,143718.61
2001,Exocoetidae,441
2001,Mullidae,396.55
2001,Ommastrephidae,110087.48
2002,Carangidae,149200.71
2002,Exocoetidae,371.58
2002,Mullidae,273.18
2002,Ommastrephidae,101780.58
2003,Carangidae,191639.48
2003,Exocoetidae,176.5
2003,Mullidae,210.73
2003,Ommastrephidae,101499.87
2004,Carangidae,175778.89
2004,Exocoetidae,183.77
2004,Mullidae,196.45
2004,Ommastrephidae,95403.48
2005,Carangidae,222833.84
2005,Exocoetidae,228.28
2005,Mullidae,116.85
2005,Ommastrephidae,89766.45
2006,Carangidae,206880.45
2006,Exocoetidae,241.14
2006,Mullidae,204.18
2006,Ommastrephidae,76701.1
2007,Carangidae,239080.5
2007,Exocoetidae,0.02
2007,Mullidae,95.25
2007,Ommastrephidae,99230.39
2008,Carangidae,196121.75
2008,Exocoetidae,0.01
2008,Mullidae,131.1
2008,Ommastrephidae,84059.07
2009,Carangidae,162890.03
2009,Exocoetidae,0.01
2009,Mullidae,188.9
2009,Ommastrephidae,87815.73
2010,Carangidae,170589.47
2010,Exocoetidae,0
2010,Mullidae,101.76
2010,Ommastrephidae,78742.07
2011,Carangidae,180535.99
2011,Exocoetidae,69.78
2011,Mullidae,92.09
2011,Ommastrephidae,116074.33
2012,Carangidae,178254.33
2012,Exocoetidae,105.85
2012,Mullidae,82.41
2012,Ommastrephidae,85277.53
2013,Carangidae,177754.64
2013,Exocoetidae,135.53
2013,Mullidae,256.22
2013,Ommastrephidae,72351.77
2014,Carangidae,186679.35
2014,Exocoetidae,96.59
2014,Mullidae,167.61
2014,Ommastrephidae,69540.93